,date_and_time,developer,system_name,workflow,n_subflows,min_sleep,max_sleep,Wall clock time,Sum of sleep times,n_threads,n_processes,n_parallelism,runner,workflow_orchestration_framework,backend_database,workflow_type,total_memory
0,2025-04-14T15:27:10.895642,kberry,serpentine,flow_scaling_test,30,0.001,0.01,1.720515251159668,0.1704143864864895,1,11,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T15:28:50.465282,kberry,serpentine,flow_scaling_test,100,0.001,0.01,10.088557004928589,0.5469913516998447,1,11,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T15:33:39.897016,kberry,serpentine,flow_scaling_test,300,0.001,0.01,28.713150024414062,1.6595085609469762,1,11,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T15:49:40.621923,kberry,serpentine,flow_scaling_test,1000,0.001,0.01,107.61509299278259,5.412880706048367,1,11,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,flow,36.0
0,2025-04-14T15:49:52.960746,kberry,serpentine,task_scaling_test,1000,0.001,0.01,7.214083909988403,9.975942510078937,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T15:50:07.597400,kberry,serpentine,task_scaling_test,2000,0.001,0.01,14.485202074050903,5.479291953378671,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T15:50:37.073410,kberry,serpentine,task_scaling_test,4000,0.001,0.01,29.32521104812622,29.83753844337323,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T15:51:36.427259,kberry,serpentine,task_scaling_test,8000,0.001,0.01,59.05387616157532,56.942983515524695,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T15:53:33.046638,kberry,serpentine,task_scaling_test,16000,0.001,0.01,116.3210871219635,130.06592114082275,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T15:57:32.532433,kberry,serpentine,task_scaling_test,32000,0.001,0.01,239.3336057662964,131.9367973141092,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:05:22.121764,kberry,serpentine,task_scaling_test,64000,0.001,0.01,469.132933139801,215.65080155009804,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:15:11.951334,kberry,serpentine,task_scaling_test,80000,0.001,0.01,589.5138671398163,438.20711011448896,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:31:10.934120,kberry,serpentine,task_scaling_test,128000,0.001,0.01,958.823343038559,690.5017707319531,11,1,11,<class 'prefect.task_runners.ThreadPoolTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:31:19.076293,kberry,serpentine,task_scaling_test,1000,0.001,0.01,7.643341064453125,1.6307354462213308,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:31:33.820859,kberry,serpentine,task_scaling_test,2000,0.001,0.01,14.226989030838013,7.353004054712649,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:32:03.195241,kberry,serpentine,task_scaling_test,4000,0.001,0.01,29.182219982147217,29.19843175789088,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:33:05.243571,kberry,serpentine,task_scaling_test,8000,0.001,0.01,61.87253212928772,52.243239814457894,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:35:03.474940,kberry,serpentine,task_scaling_test,16000,0.001,0.01,117.81509113311768,81.7796941052895,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:39:07.346993,kberry,serpentine,task_scaling_test,32000,0.001,0.01,243.68795108795166,179.17470562398734,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:47:17.153355,kberry,serpentine,task_scaling_test,64000,0.001,0.01,489.3832869529724,570.5239777631027,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
0,2025-04-14T16:57:36.797333,kberry,serpentine,task_scaling_test,80000,0.001,0.01,619.2814190387726,181.9110743508526,11,1,11,<class 'prefect_dask.task_runners.DaskTaskRunner'>,Prefect,postgreSQL,task,36.0
